"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\BlankCounter.java", "Java", 34, 1, 6, 41
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CodeCounter.java", "Java", 42, 2, 6, 50
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CommentCounter.java", "Java", 41, 1, 8, 50
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Counter.java", "Java", 21, 4, 12, 37
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Main.java", "Java", 31, 1, 13, 45
"Total", "-", 169, 9, 45, 223
