"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\test\java\com\example\CounterTest.java", "Java", 47, 11, 19, 77
"Total", "-", 47, 11, 19, 77
