"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\BlankCounter.java", "Java", 32, 1, 6, 39
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CodeCounter.java", "Java", 44, 6, 6, 56
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CommentCounter.java", "Java", 17, 12, 3, 32
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Counter.java", "Java", 48, 5, 17, 70
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Main.java", "Java", 30, 4, 14, 48
"Total", "-", 171, 28, 46, 245
