"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\BlankCounter.java", "Java", -2, 0, 0, -2
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CodeCounter.java", "Java", 2, 4, 0, 6
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CommentCounter.java", "Java", -24, 11, -5, -18
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Counter.java", "Java", 27, 1, 5, 33
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Main.java", "Java", -2, 2, 0, 0
"Total", "-", 1, 18, 0, 19
