"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\BlankCounter.java", "Java", 24, -2, 4, 26
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CodeCounter.java", "Java", 31, 1, 3, 35
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\CommentCounter.java", "Java", 21, 1, 3, 25
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Counter.java", "Java", 3, 0, 1, 4
"c:\Users\HP\Desktop\za\Advanced programming\proj3\src\main\java\com\example\Main.java", "Java", -26, -1, 2, -25
"Total", "-", 53, -1, 13, 65
